goos: darwin
goarch: arm64
pkg: github.com/bakhod1r/cachex/bench
cpu: Apple M1
BenchmarkParallelMixedZipf/go-cache-8              	 2168116	       274.9 ns/op	       5 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/go-cache-8              	 2202609	       278.5 ns/op	       5 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/go-cache-8              	 2164184	       282.7 ns/op	       5 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/go-cache-8              	 2147895	       279.0 ns/op	       5 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/go-cache-8              	 2178252	       275.6 ns/op	       5 B/op	       0 allocs/op
BenchmarkParallelMixedZipf/go-cache-8              	 2186846	       277.2 ns/op	       5 B/op	       0 allocs/op
BenchmarkHitRatio/cachex-8                         	       2	 264423396 ns/op	        77.70 hit%
BenchmarkHitRatio/cachex-8                         	       2	 265861479 ns/op	        77.68 hit%
BenchmarkHitRatio/cachex-8                         	       2	 270160250 ns/op	        77.69 hit%
BenchmarkHitRatio/cachex-8                         	       2	 267204396 ns/op	        77.68 hit%
BenchmarkHitRatio/cachex-8                         	       2	 262861917 ns/op	        77.70 hit%
BenchmarkHitRatio/cachex-8                         	       2	 262927812 ns/op	        77.69 hit%
BenchmarkHitRatio/cachex-8                         	       2	 264790666 ns/op	        77.67 hit%
BenchmarkHitRatio/cachex-8                         	       2	 264327188 ns/op	        77.68 hit%
BenchmarkHitRatio/cachex-8                         	       2	 267315896 ns/op	        77.69 hit%
BenchmarkHitRatio/cachex-8                         	       2	 267761834 ns/op	        77.67 hit%
BenchmarkHitRatio/hashicorp-lru-8                  	       5	 122360883 ns/op	        74.74 hit%
BenchmarkHitRatio/hashicorp-lru-8                  	       5	 122248450 ns/op	        74.74 hit%
BenchmarkHitRatio/hashicorp-lru-8                  	       5	 123377867 ns/op	        74.74 hit%
BenchmarkHitRatio/hashicorp-lru-8                  	       4	 202040833 ns/op	        74.74 hit%
BenchmarkHitRatio/hashicorp-lru-8                  	       5	 122904992 ns/op	        74.74 hit%
BenchmarkHitRatio/hashicorp-lru-8                  	       5	 123193725 ns/op	        74.74 hit%
BenchmarkHitRatio/hashicorp-lru-8                  	       4	 126853510 ns/op	        74.74 hit%
BenchmarkHitRatio/hashicorp-lru-8                  	       5	 129473075 ns/op	        74.74 hit%
BenchmarkHitRatio/hashicorp-lru-8                  	       5	 122708508 ns/op	        74.74 hit%
BenchmarkHitRatio/hashicorp-lru-8                  	       5	 121924967 ns/op	        74.74 hit%
BenchmarkHitRatio/ristretto-8                      	       3	 188453000 ns/op	        76.58 hit%
BenchmarkHitRatio/ristretto-8                      	       3	 174899694 ns/op	        76.60 hit%
BenchmarkHitRatio/ristretto-8                      	       3	 178566875 ns/op	        76.79 hit%
BenchmarkHitRatio/ristretto-8                      	       3	 176435278 ns/op	        76.62 hit%
BenchmarkHitRatio/ristretto-8                      	       3	 206077972 ns/op	        76.54 hit%
BenchmarkHitRatio/ristretto-8                      	       3	 177069806 ns/op	        76.55 hit%
BenchmarkHitRatio/ristretto-8                      	       3	 200105139 ns/op	        76.59 hit%
BenchmarkHitRatio/ristretto-8                      	       3	 214600569 ns/op	        76.94 hit%
BenchmarkHitRatio/ristretto-8                      	       3	 199014361 ns/op	        76.68 hit%
BenchmarkHitRatio/ristretto-8                      	       2	 353896833 ns/op	        76.94 hit%
BenchmarkHitRatio/otter-8                          	       4	 146419500 ns/op	        78.66 hit%
BenchmarkHitRatio/otter-8                          	       4	 144199114 ns/op	        78.62 hit%
BenchmarkHitRatio/otter-8                          	       4	 145233833 ns/op	        78.67 hit%
BenchmarkHitRatio/otter-8                          	       4	 145950396 ns/op	        78.60 hit%
BenchmarkHitRatio/otter-8                          	       4	 146374344 ns/op	        78.74 hit%
BenchmarkHitRatio/otter-8                          	       4	 146301448 ns/op	        78.61 hit%
BenchmarkHitRatio/otter-8                          	       4	 144607062 ns/op	        78.68 hit%
BenchmarkHitRatio/otter-8                          	       4	 147361229 ns/op	        78.73 hit%
BenchmarkHitRatio/otter-8                          	       4	 144451334 ns/op	        78.57 hit%
BenchmarkHitRatio/otter-8                          	       4	 144643906 ns/op	        78.67 hit%
BenchmarkHitRatio/theine-8                         	       2	 478953875 ns/op	        79.32 hit%
BenchmarkHitRatio/theine-8                         	       2	 466259458 ns/op	        79.54 hit%
BenchmarkHitRatio/theine-8                         	       2	 473752584 ns/op	        79.54 hit%
BenchmarkHitRatio/theine-8                         	       2	 474932854 ns/op	        79.49 hit%
BenchmarkHitRatio/theine-8                         	       2	 470499792 ns/op	        79.51 hit%
BenchmarkHitRatio/theine-8                         	       1	 520449625 ns/op	        79.54 hit%
BenchmarkHitRatio/theine-8                         	       2	 464573334 ns/op	        79.50 hit%
BenchmarkHitRatio/theine-8                         	       2	 482350062 ns/op	        79.50 hit%
BenchmarkHitRatio/theine-8                         	       2	 486207208 ns/op	        79.54 hit%
BenchmarkHitRatio/theine-8                         	       2	 470080688 ns/op	        79.54 hit%
BenchmarkHitRatio/bigcache-8                       	       3	 214667597 ns/op	        71.67 hit%
BenchmarkHitRatio/bigcache-8                       	       3	 212929847 ns/op	        71.67 hit%
BenchmarkHitRatio/bigcache-8                       	       3	 219843833 ns/op	        71.67 hit%
BenchmarkHitRatio/bigcache-8                       	       3	 213760708 ns/op	        71.67 hit%
BenchmarkHitRatio/bigcache-8                       	       3	 213380903 ns/op	        71.67 hit%
BenchmarkHitRatio/bigcache-8                       	       3	 214408125 ns/op	        71.67 hit%
BenchmarkHitRatio/bigcache-8                       	       3	 217623222 ns/op	        71.67 hit%
BenchmarkHitRatio/bigcache-8                       	       3	 214027292 ns/op	        71.67 hit%
BenchmarkHitRatio/bigcache-8                       	       3	 213313000 ns/op	        71.67 hit%
BenchmarkHitRatio/bigcache-8                       	       3	 214425195 ns/op	        71.67 hit%
BenchmarkHitRatio/freecache-8                      	       2	 261477938 ns/op	        74.04 hit%
BenchmarkHitRatio/freecache-8                      	       2	 254477730 ns/op	        74.15 hit%
BenchmarkHitRatio/freecache-8                      	       2	 251528250 ns/op	        74.04 hit%
BenchmarkHitRatio/freecache-8                      	       2	 251816604 ns/op	        74.04 hit%
BenchmarkHitRatio/freecache-8                      	       2	 254376375 ns/op	        74.04 hit%
BenchmarkHitRatio/freecache-8                      	       2	 251274271 ns/op	        74.04 hit%
BenchmarkHitRatio/freecache-8                      	       2	 254002520 ns/op	        74.15 hit%
